canonical_smiles,role,split,is_augmented,sources,exclusion_reasons,unsupported_bond_types,ipc,tokenizer_backend,token_count,max_smiles_tokens
O=S(=O)([O-])c1ccc(Cc2cc3c(O)c(c2)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)Cc2cc(Cc4ccc(S(=O)(=O)[O-])cc4)cc(c2O)C3)cc1,anion,train,0,anion,smiles_overlength,,3.5549527492718726e+48,ais,284,256
O=C1N(Cc2ccccc2)C2C(N1Cc1ccccc1)N1CN3C(=O)N(CN4C(=O)N(CN5C(=O)N(CN6C(=O)N(CN7C(=O)N(CN2C1=O)C1C7N(Cc2ccccc2)C(=O)N1Cc1ccccc1)C1C6N(Cc2ccccc2)C(=O)N1Cc1ccccc1)C1C5N(Cc2ccccc2)C(=O)N1Cc1ccccc1)C1C4N(Cc2ccccc2)C(=O)N1Cc1ccccc1)C1C3N(Cc2ccccc2)C(=O)N1Cc1ccccc1,neutral,train,0,molecule,smiles_overlength,,1.0254721906150639e+52,ais,258,256
OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@H]9[C@H](O)[C@@H](O)[C@@H](O[C@H]%10[C@H](O)[C@@H](O)[C@@H](O[C@H]%11[C@H](O)[C@@H](O)[C@@H](O[C@H]%12[C@H](O)[C@@H](O)[C@@H](O[C@H]%13[C@H](O)[C@@H](O)[C@@H](O[C@H]%14[C@H](O)[C@@H](O)[C@@H](O[C@H]%15[C@H](O)[C@@H](O)[C@@H](O[C@H]1[C@H](O)[C@H]2O)O[C@@H]%15CO)O[C@@H]%14CO)O[C@@H]%13CO)O[C@@H]%12CO)O[C@@H]%11CO)O[C@@H]%10CO)O[C@@H]9CO)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO,neutral,train,0,molecule,smiles_overlength,,1.0998084216797516e+50,ais,266,256
O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C(=O)N%18CN%19C(=O)N%20CN%21C(=O)N%22CN%23C(=O)N%24CN1C1C2N2CN%25C(=O)N(CN%26C(=O)N(CN%27C(=O)N(CN%28C(=O)N(CN%29C(=O)N(CN%30C(=O)N(CN%31C(=O)N(CN%32C(=O)N(CN%33C(=O)N(CN%34C(=O)N(CN%35C(=O)N(CN1C2=O)C%24C%23%35)C%22C%21%34)C%20C%19%33)C%18C%17%32)C%16C%15%31)C%14C%13%30)C%12C%11%29)C%10C9%28)C8C7%27)C6C5%26)C4C3%25,neutral,train,0,molecule,smiles_overlength,,2.9601114717090737e+50,ais,310,256
CC(O)COC[C@@H]1O[C@H]2O[C@@H]3[C@@H](OCC(C)O)[C@H](OCC(C)O)[C@H](O[C@H]4[C@H](OCC(C)O)[C@@H](OCC(C)O)[C@@H](O[C@H]5[C@H](OCC(C)O)[C@@H](OCC(C)O)[C@@H](O[C@H]6[C@H](OCC(C)O)[C@@H](OCC(C)O)[C@@H](O[C@@H]7[C@@H](OCC(C)O)[C@H](OCC(C)O)[C@H](O[C@@H]8[C@@H](OCC(C)O)[C@H](OCC(C)O)[C@H](O[C@@H]1[C@@H](OCC(C)O)[C@@H]2OCC(C)O)O[C@H]8COCC(C)O)O[C@H]7COCC(C)O)O[C@@H]6COCC(C)O)O[C@@H]5COCC(C)O)O[C@@H]4COCC(C)O)O[C@H]3COCC(C)O,neutral,train,0,molecule,smiles_overlength,,8.8248475276331971e+53,ais,259,256
O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C(=O)N%18CN%19C(=O)N%20CN%21C(=O)N%22CN%23C(=O)N%24CN%25C(=O)N%26CN%27C(=O)N%28CN1C1C2N2CN%29C(=O)N(CN%30C(=O)N(CN%31C(=O)N(CN%32C(=O)N(CN%33C(=O)N(CN%34C(=O)N(CN%35C(=O)N(CN%36C(=O)N(CN%37C(=O)N(CN%38C(=O)N(CN%39C(=O)N(CN%40C(=O)N(CN%41C(=O)N(CN1C2=O)C%28C%27%41)C%26C%25%40)C%24C%23%39)C%22C%21%38)C%20C%19%37)C%18C%17%36)C%16C%15%35)C%14C%13%34)C%12C%11%33)C%10C9%32)C8C7%31)C6C5%30)C4C3%29,neutral,train,0,molecule,smiles_overlength,,6.8395867711026072e+61,ais,362,256
O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C(=O)N%18CN%19C(=O)N%20CN1C1C2N2CN%21C(=O)N(CN%22C(=O)N(CN%23C(=O)N(CN%24C(=O)N(CN%25C(=O)N(CN%26C(=O)N(CN%27C(=O)N(CN%28C(=O)N(CN%29C(=O)N(CN1C2=O)C%20C%19%29)C%18C%17%28)C%16C%15%27)C%14C%13%26)C%12C%11%25)C%10C9%24)C8C7%23)C6C5%22)C4C3%21,neutral,train,0,molecule,smiles_overlength,,6.632591136236077e+39,ais,258,256
O=C1N2CCN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C(=O)N%18CN%19C(=O)N%20CN%21C(=O)N%22CN%23C(=O)N%24CN%25C(=O)N%26CN1C1C2N2CN%27C(=O)N(CN%28C(=O)N(CN%29C(=O)N(CN%30C(=O)N(CN%31C(=O)N(CN%32C(=O)N(CN%33C(=O)N(CN%34C(=O)N(CN%35C(=O)N(CN%36C(=O)N(CN%37C(=O)N(CN%38C(=O)N(CN1C2=O)C%26C%25%38)C%24C%23%37)C%22C%21%36)C%20C%19%35)C%18C%17%34)C%16C%15%33)C%14C%13%32)C%12C%11%31)C%10C9%30)C8C7%29)C6C5%28)C4C3%27,neutral,train,0,molecule,smiles_overlength,,6.0265383658354768e+56,ais,337,256
O=C1N2CN3C(=O)N4CN5C(=O)N6CN7C(=O)N8CN9C(=O)N%10CN%11C(=O)N%12CN%13C(=O)N%14CN%15C(=O)N%16CN%17C(=O)N%18CN%19C(=O)N%20CN%21C(=O)N%22CN1C1C2N2CN%23C(=O)N(CN%24C(=O)N(CN%25C(=O)N(CN%26C(=O)N(CN%27C(=O)N(CN%28C(=O)N(CN%29C(=O)N(CN%30C(=O)N(CN%31C(=O)N(CN%32C(=O)N(CN1C2=O)C%22C%21%32)C%20C%19%31)C%18C%17%30)C%16C%15%29)C%14C%13%28)C%12C%11%27)C%10C9%26)C8C7%25)C6C5%24)C4C3%23,neutral,train,0,molecule,smiles_overlength,,3.7535114546238233e+45,ais,284,256
OC[C@H]1O[C@@H]2OC3[C@@H](CO)O[C@H](OC4[C@@H](CO)O[C@H](OC5[C@@H](CO)O[C@H](OC6[C@@H](CO)O[C@H](OC7[C@@H](CO)OC(OC8[C@@H](CO)O[C@H](OC9[C@@H](CO)O[C@H](OC%10[C@@H](CO)O[C@H](OC%11[C@@H](CO)O[C@H](OC%12[C@@H](CO)O[C@H](OC%13[C@@H](CO)O[C@H](OC%14[C@@H](CO)O[C@H](OC%15[C@@H](CO)OC(OC%16[C@@H](CO)OC(OC1[C@H](O)[C@H]2O)[C@H](O)[C@H]%16O)[C@H](O)[C@H]%15O)[C@H](O)[C@H]%14O)[C@H](O)[C@H]%13O)[C@H](O)[C@H]%12O)[C@H](O)[C@H]%11O)[C@H](O)[C@H]%10O)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,neutral,train,0,molecule,smiles_overlength,,1.1049828440981015e+54,ais,285,256
