task,split,source_row,reason
simulated_qm_elec_hf,train,3460,excluded_entity
simulated_qm_elec_hf,train,22055,excluded_entity
simulated_qm_elec_hf,train,22065,excluded_entity
simulated_qm_elec_hf,train,22068,excluded_entity
simulated_qm_elec_hf,train,22069,excluded_entity
simulated_qm_elec_hf,train,22070,excluded_entity
simulated_qm_elec_hf,train,22071,excluded_entity
simulated_qm_elec_hf,train,23664,excluded_entity
simulated_qm_elec_hf,train,23665,excluded_entity
simulated_qm_elec_hf,valid,2574,excluded_entity
