fold,valid_task,train_task,exposed_il_pairs
1,experiment/density,experiment/dynamic_relative_permittivity,4
1,experiment/density,experiment/electrical_conductivity,90
1,experiment/density,experiment/equilibrium_pressure,8
1,experiment/density,experiment/glass_transition_temperature,27
1,experiment/density,experiment/heat_capacity,39
1,experiment/density,experiment/isobaric_coefficient_of_volume_expansion,5
1,experiment/density,experiment/melting_point,92
1,experiment/density,experiment/pec50,21
1,experiment/density,experiment/refractive_index,85
1,experiment/density,experiment/self_diffusion_coefficient,4
1,experiment/density,experiment/speed_of_sound,29
1,experiment/density,experiment/static_relative_permittivity,6
1,experiment/density,experiment/surface_tension,129
1,experiment/density,experiment/thermal_conductivity,7
1,experiment/density,experiment/thermal_decomposition_temperature,60
1,experiment/density,experiment/viscosity,306
1,experiment/density,experiment/x_co2,11
1,experiment/density,simulation/heat_of_vaporization,7
1,experiment/density,experiment/solvation,7
1,experiment/density,experiment/transfer,6
1,experiment/dynamic_relative_permittivity,experiment/density,9
1,experiment/dynamic_relative_permittivity,experiment/electrical_conductivity,8
1,experiment/dynamic_relative_permittivity,experiment/equilibrium_pressure,4
1,experiment/dynamic_relative_permittivity,experiment/glass_transition_temperature,2
1,experiment/dynamic_relative_permittivity,experiment/heat_capacity,4
1,experiment/dynamic_relative_permittivity,experiment/isobaric_coefficient_of_volume_expansion,1
1,experiment/dynamic_relative_permittivity,experiment/melting_point,6
1,experiment/dynamic_relative_permittivity,experiment/pec50,1
1,experiment/dynamic_relative_permittivity,experiment/refractive_index,7
1,experiment/dynamic_relative_permittivity,experiment/self_diffusion_coefficient,2
1,experiment/dynamic_relative_permittivity,experiment/speed_of_sound,5
1,experiment/dynamic_relative_permittivity,experiment/static_relative_permittivity,5
1,experiment/dynamic_relative_permittivity,experiment/surface_tension,6
1,experiment/dynamic_relative_permittivity,experiment/thermal_conductivity,5
1,experiment/dynamic_relative_permittivity,experiment/thermal_decomposition_temperature,5
1,experiment/dynamic_relative_permittivity,experiment/viscosity,7
1,experiment/dynamic_relative_permittivity,experiment/x_co2,4
1,experiment/dynamic_relative_permittivity,experiment/solvation,3
1,experiment/dynamic_relative_permittivity,experiment/transfer,2
1,experiment/electrical_conductivity,experiment/density,90
1,experiment/electrical_conductivity,experiment/dynamic_relative_permittivity,7
1,experiment/electrical_conductivity,experiment/equilibrium_pressure,9
1,experiment/electrical_conductivity,experiment/glass_transition_temperature,18
1,experiment/electrical_conductivity,experiment/heat_capacity,24
1,experiment/electrical_conductivity,experiment/isobaric_coefficient_of_volume_expansion,2
1,experiment/electrical_conductivity,experiment/melting_point,31
1,experiment/electrical_conductivity,experiment/pec50,14
1,experiment/electrical_conductivity,experiment/refractive_index,29
1,experiment/electrical_conductivity,experiment/self_diffusion_coefficient,2
1,experiment/electrical_conductivity,experiment/speed_of_sound,16
1,experiment/electrical_conductivity,experiment/static_relative_permittivity,4
1,experiment/electrical_conductivity,experiment/surface_tension,35
1,experiment/electrical_conductivity,experiment/thermal_conductivity,13
1,experiment/electrical_conductivity,experiment/thermal_decomposition_temperature,20
1,experiment/electrical_conductivity,experiment/viscosity,84
1,experiment/electrical_conductivity,experiment/x_co2,10
1,experiment/electrical_conductivity,simulation/heat_of_vaporization,1
1,experiment/electrical_conductivity,experiment/solvation,4
1,experiment/electrical_conductivity,experiment/transfer,6
1,experiment/equilibrium_pressure,experiment/density,17
1,experiment/equilibrium_pressure,experiment/dynamic_relative_permittivity,3
1,experiment/equilibrium_pressure,experiment/electrical_conductivity,9
1,experiment/equilibrium_pressure,experiment/glass_transition_temperature,10
1,experiment/equilibrium_pressure,experiment/heat_capacity,8
1,experiment/equilibrium_pressure,experiment/isobaric_coefficient_of_volume_expansion,4
1,experiment/equilibrium_pressure,experiment/melting_point,9
1,experiment/equilibrium_pressure,experiment/pec50,6
1,experiment/equilibrium_pressure,experiment/refractive_index,9
1,experiment/equilibrium_pressure,experiment/self_diffusion_coefficient,4
1,experiment/equilibrium_pressure,experiment/speed_of_sound,8
1,experiment/equilibrium_pressure,experiment/static_relative_permittivity,3
1,experiment/equilibrium_pressure,experiment/surface_tension,10
1,experiment/equilibrium_pressure,experiment/thermal_conductivity,9
1,experiment/equilibrium_pressure,experiment/thermal_decomposition_temperature,7
1,experiment/equilibrium_pressure,experiment/viscosity,12
1,experiment/equilibrium_pressure,experiment/x_co2,7
1,experiment/equilibrium_pressure,experiment/solvation,7
1,experiment/equilibrium_pressure,experiment/transfer,3
1,experiment/glass_transition_temperature,experiment/density,40
1,experiment/glass_transition_temperature,experiment/dynamic_relative_permittivity,2
1,experiment/glass_transition_temperature,experiment/electrical_conductivity,16
1,experiment/glass_transition_temperature,experiment/equilibrium_pressure,4
1,experiment/glass_transition_temperature,experiment/heat_capacity,14
1,experiment/glass_transition_temperature,experiment/isobaric_coefficient_of_volume_expansion,2
1,experiment/glass_transition_temperature,experiment/melting_point,24
1,experiment/glass_transition_temperature,experiment/pec50,12
1,experiment/glass_transition_temperature,experiment/refractive_index,15
1,experiment/glass_transition_temperature,experiment/self_diffusion_coefficient,1
1,experiment/glass_transition_temperature,experiment/speed_of_sound,6
1,experiment/glass_transition_temperature,experiment/static_relative_permittivity,5
1,experiment/glass_transition_temperature,experiment/surface_tension,13
1,experiment/glass_transition_temperature,experiment/thermal_conductivity,3
1,experiment/glass_transition_temperature,experiment/thermal_decomposition_temperature,56
1,experiment/glass_transition_temperature,experiment/viscosity,35
1,experiment/glass_transition_temperature,experiment/x_co2,5
1,experiment/glass_transition_temperature,experiment/solvation,3
1,experiment/glass_transition_temperature,experiment/transfer,2
1,experiment/heat_capacity,experiment/density,52
1,experiment/heat_capacity,experiment/dynamic_relative_permittivity,4
1,experiment/heat_capacity,experiment/electrical_conductivity,19
1,experiment/heat_capacity,experiment/equilibrium_pressure,8
1,experiment/heat_capacity,experiment/glass_transition_temperature,10
1,experiment/heat_capacity,experiment/isobaric_coefficient_of_volume_expansion,3
1,experiment/heat_capacity,experiment/melting_point,29
1,experiment/heat_capacity,experiment/pec50,7
1,experiment/heat_capacity,experiment/refractive_index,25
1,experiment/heat_capacity,experiment/self_diffusion_coefficient,6
1,experiment/heat_capacity,experiment/speed_of_sound,15
1,experiment/heat_capacity,experiment/static_relative_permittivity,8
1,experiment/heat_capacity,experiment/surface_tension,34
1,experiment/heat_capacity,experiment/thermal_conductivity,15
1,experiment/heat_capacity,experiment/thermal_decomposition_temperature,17
1,experiment/heat_capacity,experiment/viscosity,41
1,experiment/heat_capacity,experiment/x_co2,11
1,experiment/heat_capacity,simulation/heat_of_vaporization,1
1,experiment/heat_capacity,experiment/solvation,5
1,experiment/heat_capacity,experiment/transfer,5
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/density,4
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/dynamic_relative_permittivity,1
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/electrical_conductivity,3
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/equilibrium_pressure,1
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/glass_transition_temperature,2
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/heat_capacity,2
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/melting_point,1
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/pec50,2
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/refractive_index,3
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/self_diffusion_coefficient,1
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/speed_of_sound,2
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/static_relative_permittivity,1
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/surface_tension,3
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/thermal_conductivity,4
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/thermal_decomposition_temperature,2
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/viscosity,3
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/x_co2,3
1,experiment/isobaric_coefficient_of_volume_expansion,experiment/solvation,1
1,experiment/melting_point,experiment/density,102
1,experiment/melting_point,experiment/dynamic_relative_permittivity,4
1,experiment/melting_point,experiment/electrical_conductivity,31
1,experiment/melting_point,experiment/equilibrium_pressure,6
1,experiment/melting_point,experiment/glass_transition_temperature,33
1,experiment/melting_point,experiment/heat_capacity,23
1,experiment/melting_point,experiment/pec50,13
1,experiment/melting_point,experiment/refractive_index,22
1,experiment/melting_point,experiment/self_diffusion_coefficient,6
1,experiment/melting_point,experiment/speed_of_sound,8
1,experiment/melting_point,experiment/static_relative_permittivity,6
1,experiment/melting_point,experiment/surface_tension,33
1,experiment/melting_point,experiment/thermal_conductivity,6
1,experiment/melting_point,experiment/thermal_decomposition_temperature,78
1,experiment/melting_point,experiment/viscosity,86
1,experiment/melting_point,experiment/x_co2,10
1,experiment/melting_point,experiment/solvation,5
1,experiment/melting_point,experiment/transfer,6
1,experiment/pec50,experiment/density,24
1,experiment/pec50,experiment/dynamic_relative_permittivity,5
1,experiment/pec50,experiment/electrical_conductivity,11
1,experiment/pec50,experiment/equilibrium_pressure,7
1,experiment/pec50,experiment/glass_transition_temperature,9
1,experiment/pec50,experiment/heat_capacity,7
1,experiment/pec50,experiment/isobaric_coefficient_of_volume_expansion,1
1,experiment/pec50,experiment/melting_point,13
1,experiment/pec50,experiment/refractive_index,15
1,experiment/pec50,experiment/self_diffusion_coefficient,3
1,experiment/pec50,experiment/speed_of_sound,8
1,experiment/pec50,experiment/static_relative_permittivity,4
1,experiment/pec50,experiment/surface_tension,16
1,experiment/pec50,experiment/thermal_conductivity,6
1,experiment/pec50,experiment/thermal_decomposition_temperature,10
1,experiment/pec50,experiment/viscosity,14
1,experiment/pec50,experiment/x_co2,7
1,experiment/pec50,experiment/solvation,3
1,experiment/pec50,experiment/transfer,5
1,experiment/refractive_index,experiment/density,90
1,experiment/refractive_index,experiment/dynamic_relative_permittivity,7
1,experiment/refractive_index,experiment/electrical_conductivity,36
1,experiment/refractive_index,experiment/equilibrium_pressure,11
1,experiment/refractive_index,experiment/glass_transition_temperature,16
1,experiment/refractive_index,experiment/heat_capacity,30
1,experiment/refractive_index,experiment/isobaric_coefficient_of_volume_expansion,5
1,experiment/refractive_index,experiment/melting_point,37
1,experiment/refractive_index,experiment/pec50,15
1,experiment/refractive_index,experiment/self_diffusion_coefficient,2
1,experiment/refractive_index,experiment/speed_of_sound,37
1,experiment/refractive_index,experiment/static_relative_permittivity,7
1,experiment/refractive_index,experiment/surface_tension,42
1,experiment/refractive_index,experiment/thermal_conductivity,17
1,experiment/refractive_index,experiment/thermal_decomposition_temperature,21
1,experiment/refractive_index,experiment/viscosity,76
1,experiment/refractive_index,experiment/x_co2,11
1,experiment/refractive_index,simulation/heat_of_vaporization,2
1,experiment/refractive_index,experiment/solvation,4
1,experiment/refractive_index,experiment/transfer,4
1,experiment/self_diffusion_coefficient,experiment/density,7
1,experiment/self_diffusion_coefficient,experiment/dynamic_relative_permittivity,2
1,experiment/self_diffusion_coefficient,experiment/electrical_conductivity,4
1,experiment/self_diffusion_coefficient,experiment/equilibrium_pressure,3
1,experiment/self_diffusion_coefficient,experiment/heat_capacity,2
1,experiment/self_diffusion_coefficient,experiment/isobaric_coefficient_of_volume_expansion,1
1,experiment/self_diffusion_coefficient,experiment/melting_point,5
1,experiment/self_diffusion_coefficient,experiment/pec50,1
1,experiment/self_diffusion_coefficient,experiment/refractive_index,6
1,experiment/self_diffusion_coefficient,experiment/speed_of_sound,2
1,experiment/self_diffusion_coefficient,experiment/static_relative_permittivity,1
1,experiment/self_diffusion_coefficient,experiment/surface_tension,4
1,experiment/self_diffusion_coefficient,experiment/thermal_conductivity,4
1,experiment/self_diffusion_coefficient,experiment/thermal_decomposition_temperature,2
1,experiment/self_diffusion_coefficient,experiment/viscosity,7
1,experiment/self_diffusion_coefficient,experiment/x_co2,2
1,experiment/self_diffusion_coefficient,experiment/transfer,1
1,experiment/speed_of_sound,experiment/density,31
1,experiment/speed_of_sound,experiment/dynamic_relative_permittivity,4
1,experiment/speed_of_sound,experiment/electrical_conductivity,12
1,experiment/speed_of_sound,experiment/equilibrium_pressure,3
1,experiment/speed_of_sound,experiment/glass_transition_temperature,9
1,experiment/speed_of_sound,experiment/heat_capacity,16
1,experiment/speed_of_sound,experiment/melting_point,12
1,experiment/speed_of_sound,experiment/pec50,5
1,experiment/speed_of_sound,experiment/refractive_index,31
1,experiment/speed_of_sound,experiment/self_diffusion_coefficient,4
