run,model,task,target,subset,count,mae,rmse,r2,normalized_mae,normalized_rmse,source_run
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/heat_of_vaporization,heat_of_vaporization_kJ/mol,pooled,2684,5.6614555401635345,9.5359103703066,0.8872886953236472,0.20347057570852525,0.3427170202408998,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/homo,HOMO_eV,anion,744,0.2741569086700482,,,,,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/homo,HOMO_eV,cation,917,0.4733949380878851,,,,,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/homo,HOMO_eV,pooled,1661,0.3841516545918763,0.5911888126062096,0.9727179803344413,0.10668887707963094,0.16418846516750285,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/lumo,LUMO_eV,anion,744,0.2694680622361275,,,,,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/lumo,LUMO_eV,cation,917,0.4108142983103888,,,,,outputs/benchmarks/v1/ecfp_xgboost
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,simulation/lumo,LUMO_eV,pooled,1661,0.34750207697429586,0.5456975912391558,0.9782540703736791,0.09394831292947536,0.14753111265688726,outputs/benchmarks/v1/ecfp_xgboost
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/heat_of_vaporization,heat_of_vaporization_kJ/mol,pooled,2684,7.656842798759215,9.625299707074559,0.8851656864789074,0.27518404080379144,0.3459296392724102,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/homo,HOMO_eV,anion,744,0.22571511550256793,,,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/homo,HOMO_eV,cation,917,0.31828902727473435,,,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/homo,HOMO_eV,pooled,1661,0.27682304873259594,0.3607780656291137,0.9898397509195882,0.07688093976952293,0.10019742525337937,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/lumo,LUMO_eV,anion,744,0.25234011498020664,,,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/lumo,LUMO_eV,cation,917,0.3014033001965219,,,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,simulation/lumo,LUMO_eV,pooled,1661,0.2794267741273235,0.3671275691245259,0.9901574438261951,0.07554393414036892,0.09925412834784236,outputs/v1/stage2/base/evaluate
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/heat_of_vaporization,heat_of_vaporization_kJ/mol,pooled,2684,2.278852919300507,3.174555039306804,0.9875086643475632,0.08190111397249158,0.11409231016366815,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/homo,HOMO_eV,anion,744,0.18760133552454616,,,,,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/homo,HOMO_eV,cation,917,0.27528779718835983,,,,,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/homo,HOMO_eV,pooled,1661,0.23601101965803029,0.30971991449411806,0.9925120598431728,0.0655463808752431,0.08601725253970974,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/lumo,LUMO_eV,anion,744,0.16748066617358764,,,,,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/lumo,LUMO_eV,cation,917,0.23611158541452984,,,,,outputs/benchmarks/v1/mlp
mlp@outputs/benchmarks/v1/mlp,MLP,simulation/lumo,LUMO_eV,pooled,1661,0.20537022243123002,0.2793598521344941,0.9943009575876748,0.05552250533683088,0.0755258415626815,outputs/benchmarks/v1/mlp
