run,model,subset,molecule_count,atom_count,molecule_macro_mae,molecule_macro_normalized_mae,atom_micro_mae,atom_micro_rmse,atom_micro_r2,atom_micro_r2_reason,reason,source_run
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,all_mapped,2842,68920,0.05385815574399768,0.12221771844764738,0.0546055704215145,0.0812428814301332,0.9644927710285603,,,outputs/benchmarks/v1/dmpnn
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,ambiguous,2179,56199,0.05423423337381422,0.12307113329708731,0.054754510950571454,0.08148991693918081,0.9647410194757987,,,outputs/benchmarks/v1/dmpnn
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,connectivity_only,1775,44194,0.05525488337064136,0.12538724516951646,0.05586225095238694,0.08332056869237206,0.9644011205384548,,,outputs/benchmarks/v1/dmpnn
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,typed,1067,24726,0.05153463977652577,0.11694507558793076,0.05235944329293016,0.0773905077722187,0.9646810913437559,,,outputs/benchmarks/v1/dmpnn
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,unique,663,12721,0.0526221479681753,0.11941290554126786,0.0539475790063371,0.0801424123255565,0.9633106279049013,,,outputs/benchmarks/v1/dmpnn
ilume@outputs/v1/stage2/base/evaluate,ILUME,all_mapped,2842,68920,0.06239363988470049,0.14158688144835105,0.06390035057718506,0.09264186212170375,0.9538299126318033,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,ambiguous,2179,56199,0.06276714883540221,0.14243446731801065,0.06413153816761943,0.0930431175337927,0.9540346567210559,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,connectivity_only,1775,44194,0.06404604915686973,0.145336614212061,0.0656538182978509,0.09528134999652624,0.9534469992133763,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,typed,1067,24726,0.05964478659688378,0.13534904109634988,0.060766291188399685,0.08772657371000331,0.9546168936741735,,,outputs/v1/stage2/base/evaluate
ilume@outputs/v1/stage2/base/evaluate,ILUME,unique,663,12721,0.061166074268442436,0.13880122592800656,0.06287900701969568,0.09084798382007715,0.9528538705052279,,,outputs/v1/stage2/base/evaluate
