run,model,stage,operation,status,completeness,checkpoint_epoch,enabled_tasks,expected_tasks,available_tasks,available_folds,failed_jobs,source_run,issues
dmpnn@outputs/benchmarks/v1/dmpnn,D-MPNN,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/dmpnn,
ecfp_xgboost@outputs/benchmarks/v1/ecfp_xgboost,ECFP+XGBoost,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/ecfp_xgboost,
ilbert@outputs/benchmarks/v1/ilbert,ILBERT,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/ilbert,
ilume@outputs/v1/stage3/base/evaluate/fold1,ILUME,stage3,evaluate,completed,complete,,0,21,21,1,,outputs/v1/stage3/base/evaluate/fold1,
ilume@outputs/v1/stage3/base/evaluate/fold2,ILUME,stage3,evaluate,completed,complete,,0,21,21,2,,outputs/v1/stage3/base/evaluate/fold2,
ilume@outputs/v1/stage3/base/evaluate/fold3,ILUME,stage3,evaluate,completed,complete,,0,21,21,3,,outputs/v1/stage3/base/evaluate/fold3,
ilume@outputs/v1/stage3/base/evaluate/fold4,ILUME,stage3,evaluate,completed,complete,,0,21,21,4,,outputs/v1/stage3/base/evaluate/fold4,
ilume@outputs/v1/stage3/base/evaluate/fold5,ILUME,stage3,evaluate,completed,complete,,0,21,21,5,,outputs/v1/stage3/base/evaluate/fold5,
ilume@outputs/v1/stage3/base/test,ILUME,stage3,evaluate,completed,complete,,21,11,11,1;2;3;4;5,,outputs/v1/stage3/base/test,
ilume_stage3_single_task_mlp@outputs/benchmarks/v1/ilume_stage3_single_task_mlp,ILUME Stage3 Single-task MLP,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/ilume_stage3_single_task_mlp,
mlp@outputs/benchmarks/v1/mlp,MLP,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/mlp,
molformer@outputs/benchmarks/v1/molformer,MoLFormer-XL-both-10pct,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/molformer,
spmm@outputs/benchmarks/v1/spmm,SPMM,benchmark,sweep,completed,complete,,,stage3_test:11;stage3_validation:21,stage3_test:21;stage3_validation:21,1;2;3;4;5,0,outputs/benchmarks/v1/spmm,
